ingredient_extracted,ingredient_standardized,frecuencia
el jugo de 4 limones,jugo de 4 limon,2
dulce quemado o melaza,dulce quemado o melaza,2
mani,mani,2
mangos pelados y,mango,2
mango,mango,2
tableta de caldo de carne,caldo de carne,2
sopera de aceite de oliva,aceite de oliva,2
sobrebarriga,sobrebarriga,2
arroz de grano largo,arroz de grano largo,2
arroz crudo,arroz crudo,2
arepas delgadas,arepa delgada,2
arepas cocidas,arepa,2
frijoles antiquenos cocinados ver receta aqui,frijol,2
fresas frescas lavadas y por la,fresa y por,2
extracto de vainilla 1 cucharadita,extracto de vainilla 1 cucharadita,2
maicena,maicena,2
lomo de cerdo,lomo de cerdo,2
limuon para servir,limuon para servir,2
limones,limon,2
limon,limon,2
"aguacates pequenos,",aguacat,2
aguacates pequenos pelados y,aguacat,2
tocino de cerdo carnudos lavados y,tocino de cerdo carnudo,2
to mates grandes,to mat,2
to mates,to mat,2
arepas,arepa,2
almidon de yuca o harina de yuca,yuca,2
almidon de yuca,yuca,2
alinos,alino,2
"ajo,",ajo,2
ajo rebanados,ajo rebanado,2
taza de azucar,taza de azucar,2
levadura de crecimiento rapido,levadura de crecimiento rapido,2
lechuga para servir,lechuga para servir,2
leche ron o aguardiente,leche ron o aguardiente,2
galon de leche entera,galon de leche entera,2
"fruta surtida como pina, papaya, sandia, mango, manzana, banano, fresas y las uvas rojas sin semillas, pequenos.",papa,2
frijoles de cabecita negra remojados en agua.,frijol,2
leche de coco espesa,leche de coco espesa,2
leche condensada dulce,leche condensada dulce,2
leche condensada a tu gusto,leche condensada a tu gusto,2
harina de maiz amarilla pre masarepa,harina de arepa,2
harina de arepa blanca o amarilla,harina de arepa,2
habichuelas,habichuela,2
habas,haba,2
guacamole receta aqui,guacamole receta aqui,2
guacamole para servir receta aqui,guacamole para servir receta aqui,2
grosellas o uchuvas lavadas,grosella o uchuva,2
jugo de sandia o colombiana.,jugo de sandia o colombiana,2
jugo de naranja natural,jugo de naranja natural,2
tomates uva a la,tomate,2
tomates pelados y,tomate,2
"tomates maduros grandes,",tomate,2
tomates maduros,tomate,2
aji picante,aji picante,2
aji para servir receta aqui,aji para servir receta aqui,2
aji amarillo peruano o 1/2 habanero,aji peruano o 1 2 habanero,2
aguardiente o 1 cucharadita de extracto de anis,aguardiente o 1 cucharadita de extracto de anis,2
jugo de mango,jugo de mango,2
jugo de mandarina,jugo de mandarina,2
jugo de 2 limones,jugo de 2 limon,2
harina para todo uso cernida,harina para todo uso cernida,2
harina para arepas,harina de arepa,2
harina de trigo o para todo uso,harina de trigo o para todo uso,2
harina de trigo dividida,harina de trigo dividida,2
harina de todo uso,harina de todo uso,2
vinagre de vino tinto,vinagre de vino tinto,2
"verduras mixtas arvejas, zanahoria y maiz cocinadas",zanahoria,2
aguacates maduros pero firmes,aguacat maduro pero firm,2
aguacates maduros pequeunos,aguacat maduro pequeuno,2
aguacates maduros,aguacat maduro,2
aguacate de 1/2 pulgada,aguacate de 1 2 pulgada,2
vegetal o aceite de canola para freir,vegetal o aceite de canola para freir,2
uvas pasas,uvas pasa,2
aceite en aerosol,aceite en aerosol,2
aceite de canola o vegetal para freir,aceite de canola o vegetal para freir,2
a 3 libras de costillas de cerdo o carne de cerdo,carne de cerdo,2
agua de coco,agua de coco,2
agua con gas o agua helada,agua con gas o agua helada,2
aderezo kraft de mango y chipotle,aderezo kraft de mango y chipotle,2
vino de oporto,vino de oporto,2
jugo de 1/2 lima,jugo de 1 2 lima,2
huevos fritos soleado hacia arriba o huevos con tomate y cebolla,cebolla,2
huevos fritos,huevo frito,2
huevos cocidos,huevo,2
huevos batidos con 1 cucharada de agua,huevo batido con 1 cucharada de agua,2
hogao ver receta,hogao ver receta,2
hogao para servir receta aqui,hogao para servir receta aqui,2
zanahorias cocinadas y,zanahoria,2
zanahorias cocinadas,zanahoria,2
1/2 tazas almidon de yuca,yuca,2
zanahorias peladas y partidas,zanahoria,2
6 oz de atun,6 oz de atun,2
"1 libra de hojaldre, descongelado",1 libra de hojaldre descongelado,2
2 barras de mantequilla,2 barra de mantequilla,2
. mas 4 cucharadas de agua,mas 4 cucharada de agua,2
zumo de 1 limon,zumo de 1 limon,1
1/4 tazas de harina para todo uso,1 4 taza de harina para todo uso,1
12 onzas de leche condensada,12 onza de leche condensada,1
"13,5 oz de leche de coco",13 5 oz de leche de coco,1
13.5 onzas de leche de coco o,13 5 onza de leche de coco,1
"14 onzas lata de corazones de palmas,",14 onza lata de corazon de palma,1
15.5 oz de maiz pelao,15 5 oz de maiz pelao,1
15.5 oz hominy o maiz pelao amarillo,15 5 oz hominy o maiz pelao,1
2 cucharadas de fecula de maiz,2 cucharada de fecula de maiz,1
2 libra de rabo o cola de res,2 libra de rabo o cola de res,1
20 oz de pina sin el jarabe,20 oz de pina sin el jarabe,1
a 1 taza de azuucar o a su gusto,a 1 taza de azuucar o a su gusto,1
a 3 libras de cola de res,a 3 libra de cola de res,1
agua o 2 tazas de pollo o caldo de verduras,agua o 2 taza de pollo o caldo de verdura,1
agua mas si es necesario,agua mas si es necesario,1
aderezo kraft balsamico dulce,aderezo kraft balsamico dulce,1
achiote o sazon con color,achiote,1
aceitunas rellenas espaunolas a la,aceituna rellena espaunola a,1
aceite vegetal y mas para engrasar el recipiente,aceite vegetal,1
aceite vegetal o de oliva,aceite vegetal,1
aceite vegetal o de canola para freir,aceite vegetal,1
y 1/2 tazas de arroz blanco,1 2 taza de arroz,1
y 1/2 tazas de agua,1 2 taza de agua,1
y 1/2 taza de queso parmigiano reggiano,1 2 taza de queso parmigiano reggiano,1
y 1/2 cucharada de azucar,1 2 cucharada de azucar,1
vodka o,vodka,1
vino rojo,vino,1
vino dulce brandy o ron,vino dulce brandy o ron,1
vinagre blanco 1 cucharada,vinagre 1 cucharada,1
jugo de 1/2 limon,jugo de 1 2 limon,1
harina precocida de maiz amarillo,harina precocida de maiz,1
harina de maiz precocida amarilla masarepa,harina de arepa,1
harina de maiz precocida amarilla,harina de maiz precocida,1
harina de maiz blanco o masarepa,harina de arepa,1
jengibre,jengibre,1
huevos grandes batidos,huevo batido,1
huevos duros,huevo duro,1
huevos cocinados duros,huevo cocinado duro,1
hojas de acelga en pequenos pedazos,hoja de acelga en pedazo,1
hojaldre congelado descongelado,hojaldre congelado descongelado,1
hogao ver receta aqui,hogao ver receta aqui,1
hogao vea la receta aqui,hogao vea la receta aqui,1
hogao salsa criolla colombiana,hogao salsa criolla colombiana,1
helado de vainilla,helado de vainilla,1
huevo duro,huevo duro,1
la cascara de 1 pina,cascara de 1 pina,1
habichuelas verdes en tamano de bocado,habichuela en tamano de bocado,1
habichuelas verdes en pedazos pequenos,habichuela en pedazo,1
